description,label,
"The magical island of 📍Milos (Μήλος) - @cyclades_islands 💙
Incredible beaches and stunning landscapes shaped by its volcanic past!
°
⚪Tag your Travel Friends!!🔵
°
📸 by: @katerinakatopis .

#Milos #Cyclades #Greece #VisitGreece #grèce #grecia #hellas #vacation #travelpics #paradise #🇬🇷 #heaven #sea #island #greekisland #islandlife #summer #traditional #traveling #holiday #travel #slowliving #volcano #ellada #nature #islandlife #Μήλος #Κυκλάδες #Ελλάδα #cyclades_islands",0,
"Acropolis latte art ☕️ 🏛️ in Athens 😍👇🏻
.
@tafcoffee ❤️🙏🏻, a must visit coffee spot in Athens! The friendliest most professional baristas, a wild selection of roasts and amazing latte art 🖼️.
.
Collab with / invited by @neomahotel 
Collab with @greece.onwheels 
.
#athens #athensgreece #athenscity #athenscoffee #athenscoffeespots #athensfood #athensfoodguide #greecetravel #athenstips",0,
"Price Drop Alert 🚨 Δεν είναι πρωταπριλιάτικο αστείο! Θέλεις Πάσχα μοναδικό στο Περού για να ανακαλύψεις την αυτοκρατορία των Ίνκας και τον Αμαζόνιο ή στην Κούβα για να το ζήσεις με μαγιό και χορό σε καλοκαιρινό ρυθμό; Ό,τι κι αν επιλέξεις, ο κόκκινος ελέφαντας έχει την πιο καυτή προσφορά στην αγορά 🔥

Θέλεις να μάθεις τιμούλες και προγραμματάκια; Ρώτησέ μας σήμερα ☎️ Θεσσαλονίκη: 2310 256 555 | Αθήνα: 210 360 5551
	
✈️ Από Αθήνα & Θεσσαλονίκη για Περού
✈️ Από Θεσσαλονίκη για Κούβα

#traveloffer #travelperu #travelcuba #redelephantz #redelephant #travelagency",1,
"One of the best hotels in Athens, with Acropolis view & rooftop pool in summer ☀️, bubble dinner 🍽️ in winter on the rooftop, yard, gym, great staff and a delicious breakfast. On a 5-minute walk from the entrance of the Acropolis 🏛️
.
>> @neomahotel ❤️
.
Thanks for inviting me Neoma!! (collab) 
.
#athens #athenshotel #besthotelingreece #besthotelinathens #neoma #neomahotel #besthotelathens #athensrooftop #athensrooftoppool #greecetravel #greece #greecehotels",0,
"This is the picturesque island of 📍Tinos (Τήνος) - @cyclades_islands ❤️
Traditional villages, adorable beaches and natural beauty!!
°
⚪Tag your Travel Friends!!🔵
°
📸 by: @alex_pelekanos .

#Tinos #Cyclades #Greece #VisitGreece #grèce #grecia #hellas #vacation #travelpics #paradise #🇬🇷 #heaven #sea #island #greekisland #islandlife #summer #traditional #traveling #holidays #travel #slowliving #heavenly #ellada #nature #islandlife #Τήνος #Κυκλάδες #Ελλάδα #cyclades_islands",0,
"The untouched natural beauty of 📍Folegandros island (Φολέγανδρος) - @cyclades_islands 🤍
°
⚪Tag your Travel Friends!!🔵
°
📸 by: @manon.lecoz .

#Folegandros #Cyclades #Greece #VisitGreece #grèce #grecia #hellas #vacation #travelpics #paradise #🇬🇷 #heaven #instadaily #island #greekisland #islandlife #summer #untouched #traveling #holidays #travel #slowliving #heavenly #ellada #nature #islandlife #Φολέγανδρος #Κυκλάδες #Ελλάδα #cyclades_islands",0,
"Πείτε εσείς το «ναι» και αφήστε τα υπόλοιπα στους ειδικούς ❤️ link in bio

#bali #honeymoontravel #balitravel #redelephantz #redelephant #travelagency",0,
"Ρέθυμνο…❣️

Photo: @vasilis_llkks 

#rethimno #chania #crete #greece #perfect_chania #perfect_greece #travel_greece #athens_voice #wu_greece #protothema #visitgreece #expression_greece #exquisite_greece #eros_greece #unique_greece__ #alluring_greece #loves_greece_ #kings_greece #great_photos_greece #great_street_photos #iconic_greece #colors_of_greece #colours_of_crete #igers_crete #cretanstories #greecetravelgr1_ #greece_countryside #bestplaceingreece #greeceperfection",0,
"😱 BEAUTIFUL river in Greece 🇬🇷, with a very nice mythical story connected to it: the Acherontas river in Epirus 💦
.
#greece #epirus #acherontas #acherontasriver #greecetravel #greecestagram",0,
Μαντέψτε ποιον πετύχαμε στο Μοντεβιδέο της Ουρουγουάης! #happytraveller #uruguay #montevideo,1,
"🐐 SAVE this post for the region of RETHYMNO, Crete. I’ve gotten loads of questions about Crete after all these posts and stories, so I’m trying to organize everything into regions and I hope that posts like this help you plan your trip better ☺️ so here are 5 things to do while in Rethymno. 

1. The Palm Tree Forest of Preveli - I’ve posted about this before, I still think it’s a must. It’s around a 45-mins drive from the city of Rethymno, a very comfortable and pretty ride to the south. You need to pay 2€ for parking and then it’s a 20-mins descend on foot. Make sure you walk inside the palm tree forest, on the designated pathway. Also, the beach is quite beautiful as well! You can buy refreshments right on the beach, there’s a cafeteria 🌴 

2. The Sfendoni cave, Zoniana - this is the largest cave in Crete, an island of about 5,500 caves (insane, right?!). The deeper you walk, the more spectacular it gets! Astounding formations of stalactites and stalagmites in the heart of Mt Psiloritis. Also, the town of Zoniana is super close so make sure you visit what is supposed to be Crete’s proudest town 🫣 

3. Margarites village - a quaint village (almost like all of Rethymno’s towns) with a tradition to pottery and beautiful ceramics. The reason is that there’s a lot of clay on a nearby mountain. You can do pottery workshops at the village. Also, while in the area you should also do nearby Eleutherna Archaelogical site and the monastery of Arkadi 🏺 

4. Mariou taverna, Plakias - this taverna has gotten very very high on my list of favourite tavernas in Crete. The location and the food are simply too good to be true. This taverna is super close to the Kotsifou gorge, Kourtaliotis gorge and the family-friendly beach of Plakias 🥘 

5. Argyroupoli Springs - in the lush green forests of the mountains of Rethymno lies Argyroupoli, a small town where the fresh water rushes directly from springs. There are a lot of little waterfalls and pools as you walk the stairs up. The view gets better and there’s a couple of tavernas, so it’s definitely a great stop while exploring Rethymno 🌳 

#Crete#Rethymno",1,
Γίνεται ταξίδι στην Παταγονία χωρίς πεζοπορία; #happytraveller #patagonia,1,
"🌎ΠΟΥ ΕΙΣΑΙ; 

📚Το νέο μας ταξιδιωτικό παιδικό βιβλίο είναι το ιδανικό εργαλείο για να ανοίξετε νέους ορίζοντες στη φαντασία των μικρών σας. Με συναρπαστικές περιπέτειες, πολύχρωμους προορισμούς και μαγευτικά τοπία. 

📖Ετοιμαστείτε για ατελείωτες ανακαλύψεις Κάθε σελίδα είναι και ένα νέο ταξίδι. ✈️🌟

✌️Ευχαριστούμε που μας στέλνετε φωτογραφίες όταν το βρίσκετε στα βιβλιοπωλεία ή το αγοράζετε. Συνεχίστε. Θα τα κάνουμε όλα repost. 

#HappyTraveller #PouEisaiBook #ΠαιδικόΒιβλίο #Ταξίδι #ΜικροίΤαξιδιώτες #Φαντασία #Ανακαλύψεις #ΒιβλίαΓιαΠαιδιά #ReadingIsFun",0,
"🦌 Not only a beautiful mountain with stunning nature, but also a cradle of fascinating history and mythology. In history and in art, the Centaurs are shown as having a human torso and the lower body of a horse. The best-known Centaur was Chiron, a wise teacher whose students included Asclepius, Jason (Iason) and Achilles.

🌱 He was the first to use herbs to treat illnesses and injuries. According to myth, Chiron belonged to the famed race of Centaurs descended from the gods and were wise, just, good-hearted, and friends and supporters of humans.

👉🏼 BONUS fact: According to Greek mythology, Pelion was the summer retreat of the 12 Olympians. By throwing boulders from the mountain and down into the sea, Zeus created the beautiful Sporades islands (Skiathos, Skopelos and Alonissos). 

What’s your favourite Greek mythology? 
#Pelion#Magnesia#Greece",1,
"Out of the box activity for Athens: Wine 🍷 tasting & castle 🏰 / estate tour @pyrgosvasilissis 
.
Comment GUIDE for the link to my 132-page Athens ebook 📕
.
Invited by / collab with  @stayclose_athens Sun Marco Apartments
.
#athens #athensactivity #athensgreece #athensguide #athenstips #pyrgosvasilissis #athenswinetasting #athensmustvisit",0,
Σήμερα ανεβαίνουμε στα βουνά της Ουαλίας! #happytraveller #wales,1,
"Happy Traveller στην Ουαλία μέρος 1
Κυριακή 16/2/25 στις 16.40
#happytraveller #wales",1,
"Lazy Sundays στις Μαλδίβες ✨

#maldives #honeymoontravel #maldivestravel #redelephantz #redelephant #travelagency",0,
"🌊 Ikaria— The island of longevity, a stress-free lifestyle, mountains, dances, great organic food, surfers and dangerous sea currents.

🦅 Icarus — According to the myth, Icarus drowned in the Icarian Sea (named after him) and was washed off in Ikaria. He was the son of Daedalus, who created a pair of wings made out of wax and feathers and had warned his son not to fly too close to the sun or the wings will melt. The two had to find a way to espace from the labyrinth that Daedalus himself had made, for Minotavros to live in. They had been imprisoned by King Minos himself.

🎶 The dances — Ikaria is famous for its big, big “paniyiria” feasts, with lots of local food, local wine, the
“ikariotika” songs and dances (seen on the video), celebrated by people of all ages (literally from 5 to 95), all backgrounds, just holding each other and dancing until dawn.

🥱 The life — Everything in Ikaria flows naturally and so, so slow. If you’re the type of person who likes to plan everything beforehand, then l’ve got bad news for you. Everyone stays up until late at night and then the day begins late as well. Everyone enjoys the sea all day long. Lunching at 5-6 pm. Dinner at 10-11pm.

And then there’s going to be another paniyiri somewhere and everyone will gather there.

Ikaria is one of a kind. 
#Ikaria#Greece",1,
Κάποια από τα τοπία που μας μάγεψαν στην Ουαλία. Για περισσότερα σήμερα στις 16.40 στον #skaitvgr #happytraveller,1,
Σα νέοι Μαγγελάνοι οργώσαμε την Παταγονία. #happytraveller #patagonia,1,
"Χανιά…❣️

Photo: @nektarios_maragkakis 

#chania #crete #greece #perfect_chania #perfect_greece #travel_greece #athens_voice #wu_greece #protothema #visitgreece #expression_greece #exquisite_greece #eros_greece #unique_greece__ #alluring_greece #loves_greece_ #kings_greece #great_photos_greece #great_street_photos #iconic_greece #colors_of_greece #colours_of_crete #igers_crete #cretanstories #greecetravelgr1_ #greece_countryside #bestplaceingreece #greeceperfection",0,
"Explore the wild beauty of 📍Serifos island (Σέριφος) - @cyclades_islands ❤️
°
⚪Tag your Travel Friends!!🔵
°
📸 by: @hhristi .

#Serifos #Cyclades #Greece #VisitGreece #grèce #grecia #hellas #vacation #travelpics #paradise #🇬🇷 #heaven #instadaily #island #greekisland #islandlife #summer #wildnature #traveling #holidays #travel #slowliving #heavenly #ellada #nature #islandlife #Σεριφος #Κυκλάδες #Ελλάδα #cyclades_islands",0,
"🌳 What dreams are made of. 

Zagori, a UNESCO World Heritage Site, is one of those places that make you want to return every season. And then you can’t decide which season is the prettiest. 

A group of 46 traditional stone-built villages on the slopes of Mt Tymfi, one of my favourite mountains in the country, make the Zagorohoria (“horio” meaning village). 

Everywhere you stand, there’s an old stone-built bridge nearby, arching over river Voidomatis or one of its tributaries. There will definitely thick forests around. Some dramatic mountain peak. The sound of the wind brushing through the leaves. Probably a village peeking behind the trees somewhere in the distance. The sounds of chicken and the bells hanging from the goats and the sheep. Utter peace. 

There shall be a part II. 

#Zagori#Epirus#Greece",1,
"🐚 Folegandros— As soon as you set foot on Folegandros you realize how wild, steep, rocky, almost inhospitable the landscape is. 

Ever seen the famous Panagia monastery over the Hora?

It’s built right on the edge of the cliff. The island’s cliffs are full of caves like this one, that make your voice echo, just like they echo the long-standing background of pirates using these caves as hideouts.

Much like its scenic Hora town, built right on the edge of the cliff. In fact, you don’t even realize you’re that close to the cliff until you get to a balcony. In its very heart lies the “Kastro” Venetian-style castle, built there to overlook the seas. 

Get all my best recommendations and ideas for Folegandros on my Ultimate Greece Guide—link in bio 🌊 
#Folegandros#Cyclades#Greece",1,
Αυτό δεν περιμέναμε να το βρούμε στην #patagonia ! #happytraveller,1,
"Χανιά…❤️❤️

Photo: @nektarios_maragkakis 

#oldharbour #oldtown #travelphotography
#chania #chaniacrete #instachania #crete #instacrete #instagreece #greece #retro #oldbutgold #discover_crete #meanwhileincrete #ilovecrete #colours_of_crete #cretelife #allincrete #mysticcrete #discovergreece #discovercrete #visitcrete #wu_greece #perfect_greece #colours_of_greece #igerscrete #iconic_greece #kings_greece #expression_greece #discover_greece_",0,
"Όμορφη μέρα…..

Photo : @fragos_nick 

#oldharbour #oldtown #travelphotography
#chania #chaniacrete #instachania #crete #instacrete #instagreece #greece #retro #oldbutgold #discover_crete #meanwhileincrete #ilovecrete #colours_of_crete #cretelife #allincrete #mysticcrete #discovergreece #discovercrete #visitcrete #wu_greece #perfect_greece #colours_of_greece #igerscrete #iconic_greece #kings_greece #expression_greece #discover_greece_",0,
"Discover the serenity of 📍Serifos island (Σέριφος) - @cyclades_islands 💙
°
⚪Tag your Travel Friends!!🔵
°
📸 by: @eleftheria.sfr .

#Serifos #Cyclades #Greece #VisitGreece #grèce #grecia #hellas #vacation #travelpics #paradise #🇬🇷 #heaven #sea #island #greekisland #islandlife #summer #traditional #traveling #holiday #travel #slowliving #hiking #ellada #nature #islandlife #Σέριφος #Κυκλάδες #Ελλάδα #cyclades_islands",0,
"Strolling around 📍Tinos island (Τήνος) - @cyclades_islands 💙
°
⚪Tag your Travel Friends!!🔵
°
📸 by: @vasilis_sdl .

#Tinos #Cyclades #Greece #VisitGreece #grèce #grecia #hellas #vacation #travelpics #paradise #🇬🇷 #heaven #instadaily #island #greekisland #islandlife #summer #culture #traveling #holiday #travel #slowliving #heavenly #ellada #nature #islandlife #Τήνος #Κυκλάδες #Ελλάδα #cyclades_islands",0,
"Το 2030 το παγκόσμιο κύπελλο ελπίζουμε να το πάρει η Ουρουγουάη. Αν φυσικά δεν το πάρει η Ελλάδα! 

Αυτό είναι το θρυλικό γήπεδο Estadio Centenario στο Μοντεβιδέο. 

Μην χάσετε το επεισόδιο της Κυριακής. Στις 17.00 έχουμε το τρίτο και τελευταίο μέρος της Ουρουγουάης. 

#HappyTraveller #Uruguay #Montevideo",1,
"Το αληθινό νόημα των Χριστουγέννων από την Μπρίζ❤️

❤️tag τους φίλους σας που θέλετε να τους στείλετε αγάπη αυτά τα Χριστούγεννα 
❤️like στο ποστ 

❤️Το αληθινό νόημα τών Χριστουγέννων είναι το νόημα της ζωής και ο δρόμος πρός την ευτυχία! 

❤️Τι είναι Ευτυχία; Ισως κάποιοι να νομίζουν πως είναι τα υλικά αγαθά. Με τα χρόνια κατάλαβα πως η αληθινή ευτυχία έρχεται με το να κάνεις καλό στούς άλλους. Να βγαίνεις από τον εαυτό σου και να προσφέρεις συμπόνια, καλοσύνη, χαρά…Μία δέσμευση να κάνουμε την ζωή των άλλων καλύτερη και να γεμίζουμε και εμείς χαρά!
❤️Τι είναι αγάπη; Αν την αφαιρέσεις από τον κόσμο είναι ένας τάφος ψυχής! Η αγάπη ομορφαίνει το μέσα μας και φέρνει το ηλιοβασίλεμα στην καρδιά μας. Η αγάπη δεν έχει αντάλλαγμα, υπομένει, νοσταλγεί, δεν φθονεί, δεν κραυγάζει,δεν μεγαλοπιάνεται, δεν θυμώνει, δεν θυμάται λάθη, επιμένει! 
Η αγάπη θέλει να δώσει χαρά και σου επιστρέφει απλόχερα ευτυχία 
❤️Τι είναι Χριστούγεννα; Σε μια εποχή μίσους, κακίας, εγωισμού, εσωστρέφειας, τοξικότητας, τα Χριστούγεννα έρχονται να θυμίσουν: Πιο ωραίο είναι να αγαπάς και ας είναι κουραστικό! Τα Χριστούγεννα δείχνουν πως μόνο ο δρόμος της αγάπης μας κάνει καλύτερους ανθρώπους. Τα Χριστούγεννα δείχνουν πως αυτό που μας καταξιώνει δεν είναι η καταγωγή, ο πλούτος, το φύλο, η φυλή, οι ικανότητες, αλλά το γεγονός πως είμαστε Άνθρωποι. Η χριστιανική αγάπη  που είναι το νόημα της γεννησεως του Χριστού, δηλαδή των Χριστουγέννων, δεν είναι μια αόριστη συναισθηματική έξαρση της στιγμής, αλλά μια στάση ζωής καθημερινά.Πρόκειται για ένα θείο φως που λάμπει στην όλη ύπαρξη και που μας γεμίζει χαρά και λύτρωση. 
❤️Αρα τα Χριστούγεννα είναι άλλη μία ευκαιρία να γίνουμε καλύτεροι άνθρωποι. Είναι ο δρόμος προς την Ευτυχία αν μέσα στην ψυχή μας είναι κάθε μέρα…. Χριστούγεννα!Χρόνια σας πολλά καλά Χριστούγεννα 
#fy #fyp #christmas",1,
"Λίμνη Κόμο❤️Varenna ένα όνειρο στην βόρεια Ιταλία 

❤️tag τα φιλαράκια σας που αγαπούν τα ταξίδια στην Ιταλία 
❤️like στο post 
❤️Για τις ΕΙΚΟΝΕΣ ταξιδέψαμε στο Μιλάνο για 3 επεισόδια. Στο τελευταίο από αυτά σας παρουσιάζουμε και την Λίμνη Κόμο σε μια μονοήμερη που κάναμε από την πρωτεύουσα της μόδας. 
❤️Μεγάλη εντύπωση μας έκανε η Varenna! Τα λιθόστρωτα καλντερίμια και τα χρωματιστά σπίτια, με τα τεράστια παράθυρα θα σε μαγέψουν. Κάθε σοκάκι αποτελεί το απόλυτο insta frame το μέρος το λατρέψαμε όσο τίποτα άλλο στην Λίμνη Κόμο. Περισσότερα στις @eikonesbytasosdousis Κυριακή 17:45 στο @opentvgr 
❤️Στο Μιλάνο πετάξαμε απευθείας με την @aegeanairlines σε ένα ταξίδι που οργανώσαμε μαζί με το @grefis.travel 
#eikonesbytasosdousis #travelgram #varenna",0,
"Χρόνια πολλά Ελλάδα! 
Ζήτω η 25η Μαρτίου. 
#25μαρτίου",1,
"Enjoy the authentic atmosphere of📍Irakleia island (Ηρακλειά) - @cyclades_islands 
Part of the beautiful small Cyclades!
°
⚪Tag your Travel Friends!!🔵
°
📸 by: @two.greekpassports .

#irakleia #Cyclades #Greece #VisitGreece #grèce #grecia #hellas #vacation #travelpics #paradise #🇬🇷 #heaven #sea #island #greekisland #islandlife #summer #traditional #traveling #holidays #travel #slowliving #smallcyclades #ellada #nature #islandlife #Ηρακλειά #Κυκλάδες #Ελλάδα #cyclades_islands",0,
"🪸 This is Lemnos! 

An island in the North Aegean that looks like nothing I’ve seen so far. 

It’s the island of contrasts: an incredibly peaceful atmosphere, everywhere you go, as opposed to the dramatic landscapes. Places like the Alyki salt lakes, the “pocket-sized Sahara desert” sand dunes, as well as the endless meadows all around the island will make you feel so tiny. 

🧿 Trip in collaboration with @gr_events, @seajetsgr & @varosvillagehotel 

#Lemnos#Greece",1,
"Ανθοχώρι Μετσόβου❤️Στο «Μαντάνι»
πίνεις το τσιπουράκι  σου μέσα στο πράσινο, δίπλα στο τρεχούμενο νερό και απολαμβάνεις πίτες, γλυκά μαγειρευτά φαγητά και φυσικά εκλεκτό παραδοσιακό φαγητό! Καλή Σαρακοστή 

❤️tag τα φιλαράκια σας που ψάχνουν την ανόθευτη ομορφιά της πατρίδας μας 
❤️like στο ποστ 

❤️Για @eikonesbytasosdousis ταξιδέψαμε πρόσφατα στο γραφικό Μέτσοβο. Κάναμε πολλά ρεπορτάζ αλλά αξέχαστη εμπειρία ήταν το Ανθοχώρι σχεδόν 20 με 30 λεπτά από το Μέτσοβο 
❤️Ο Γιάννης και ο Γιώργος Γεωργίου άφησαν τα Γιάννενα το 2018, πήγαν στον τόπο καταγωγής τους, στο Ανθοχώρι Μετσόβου και έδωσαν «ζωή» στο νεροτριβείο, τον μύλο και το μαντάνι, το οποίο λειτουργούσε μέχρι και το 1985.
❤️Εκεί δημιούργησαν το υπαίθριο Μουσείο Υδροκίνησης που απλώνεται σε έκταση 9, περίπου, στρεμμάτων και εκεί βρίσκουμε το καφέ-εστιατόριο «Το Μαντάνι» με καθημερινούς επισκέπτες από την Ελλάδα και το εξωτερικό και ένα παραδοσιακό Μαντάνι όπου πλένουν φλοκάτες, κουβέρτες και χοντρά ρούχα.
❤️Κάναμε ένα από τα πιο ξεχωριστά ρεπορτάζ για την ορεινή Ελλάδα και είχαμε την τύχη να γνωρίσουμε όλα τα μέλη της υπέροχης οικογένειας των παιδιών και φυσικά την γλυκύτατη κυρία Μαρία που μας έφτιαξε και μια παραδοσιακή χορτόπιτα να τρώει η μάνα και του παιδιού να μην δίνει 🫣
❤️Σας προτείνω αυτό το μέρος χωρίς καμία επιφύλαξη και νομίζω πως θα περάσετε υπέροχα. «Το Μαντάνι» έχει καταπληκτική απλή χωριάτικη κουζίνα σε εξαιρετικές τιμές #metsovo #travelblogger #foodie #foodies #restaurant #fyp",1,
"Happy Traveller σε Ορεινή Καβάλα και Παγγαίο όρος.

Κυριακή 9/2 στις 16.45
#HappyTraveller",1,
"A perfect day touring the Greek island of Paros ❤️
.
There’s more routes + Google maps route link in my Paros guide ✨. So you don’t have to do ANY research anymore. 
.
👉🏻 Comment “Paros Guide” for the link to my ebook.
.
#paros #parosisland #parostour #parosroadtrip #parosroute #parosgreece #parosguide #greekislands #greece2025 #parostips",0,
"Είστε έτοιμοι να μάθετε τι σημαίνει hakuna matata + να ξεχάσετε τα πάντα; 🌸  link in bio

#zanzibar #safari #travelzanzibar #redelephant #travelagency",1,
"Νέα Υόρκη❤️Μοναδική εμπειρία στο EDGE NYC,το Μανχάτταν από ψηλά 360o 

❤️tag τα φιλαράκια σας που αγαπούν τις όμορφες εμπειρίες και στην Νέα Υόρκη 
❤️like στο reel 

❤️EDGE Hudgon Yards με θέα καταπληκτική στο ομορφότερο ηλιοβασίλεμα της Νέας Υόρκης 
❤️Είναι μια βεράντα 100 ορόφους ψηλότερα από το Μανχάτταν στην «Άκρη» ενός κτιρίου 
❤️Τους επισκέπτες υποδέχεται μια  εμπειρία -σχεδιασμένη από το LAB at Rockwell Group- και, στη συνέχεια, ένας ανελκυστήρας τους μεταφέρει εντός 52 δευτερολέπτων στην 700 τετραγωνικών μέτρων πλατφόρμα θέασης. Η οποία προεξέχει σχεδόν 24 μέτρα από τον 100ό όροφο του κτηρίου, προσφέροντας ανεπανάληπτη πανοραμική θέα του φημισμένου περιγράμματος κτηρίων στον ορίζοντα της Νέας Υόρκης - αλλά και πέρα από αυτό.
Το μάτι φτάνει σε απόσταση 129 χιλιομέτρων!
❤️Μια δραστηριότητα που είχαμε την εμπειρία να ζήσουμε με πρόταση του γραφείου @manessistravelgr που οργάνωσε όλο τα ταξίδι μας άψογα στην Νέα Υόρκη 
❤️Τέτοιες ΕΙΚΟΝΕΣ σας φέρνουμε για την μαγική και χριστουγεννιάτικη Νέα Υόρκη μαζί με @andreasmanessis ,σε 3 χορταστικά επεισόδια που θα προβληθούν μέσα στις γιορτές 
#eikonesbytasosdousis #newyork #edge #hudsonyards",0,
"Χανιά….❤️

#oldharbour #oldtown #travelphotography
#chania #chaniacrete #instachania #crete #instacrete #instagreece #greece #retro #oldbutgold #discover_crete #meanwhileincrete #ilovecrete #colours_of_crete #cretelife #allincrete #mysticcrete #discovergreece #discovercrete #visitcrete #wu_greece #perfect_greece #colours_of_greece #igerscrete #iconic_greece #kings_greece #expression_greece #discover_greece_",0,
"Ψηλορείτης….❤️

Photo : @nick_dks 

#naturelover_gr #whitemountains #landscapephotography #naturelovers #chania #crete #instacrete #instagreece #greece #sonyalpha #discover_crete #meanwhileincrete #ilovecrete #colours_of_crete #allincrete #mysticcrete #discovergreece #discovercrete #visitcrete #perfect_greece #colours_of_greece #igerscrete #iconic_greece #perfectplace #natureperfection #everything_imaginable_ #nature_captures #cretelife #wintermood #mountainscapes",0,
